date,ics
2014-01-01,81.2
2014-01-02,81.6
2014-01-03,80
2014-01-04,84.1
2014-01-05,81.9
2014-01-06,82.5
2014-01-07,81.8
2014-01-08,82.5
2014-01-09,84.6
2014-01-10,86.9
2014-01-11,88.8
2014-01-12,93.6
2014-01-13,98.1
2014-01-14,95.4
2014-01-15,93
2014-01-16,95.9
2014-01-17,90.7
2014-01-18,96.1
2014-01-19,93.1
2014-01-20,91.9
2014-01-21,87.2
2014-01-22,90
2014-01-23,91.3
2014-01-24,92.6
2014-01-25,92
2014-01-26,91.7
2014-01-27,91
2014-01-28,89
2014-01-29,94.7
2014-01-30,93.5
2014-01-31,90
2014-02-01,89.8
2014-02-02,91.2
2014-02-03,87.2
2014-02-04,93.8
2014-02-05,98.2
2014-02-06,98.5
2014-02-07,96.3
2014-02-08,96.9
2014-02-09,97
2014-02-10,97.1
2014-02-11,95
2014-02-12,93.4
2014-02-13,96.8
2014-02-14,95.1
2014-02-15,100.7
2014-02-16,98.5
2014-02-17,95.9
2014-02-18,95.7
2014-02-19,99.7
2014-02-20,101.4
2014-02-21,98.8
2014-02-22,98
2014-02-23,98.2
2014-02-24,97.9
2014-02-25,96.2
2014-02-26,100.1
2014-02-27,98.6
2014-02-28,97.5
2014-03-01,98.3
2014-03-02,91.2
2014-03-03,93.8
2014-03-04,98.4
2014-03-05,97.2
2014-03-06,100
2014-03-07,98.2
2014-03-08,98.4
2014-03-09,89.8
2014-03-10,93.2
2014-03-11,95.5
2014-03-12,96.8
2014-03-13,99.3
2014-03-14,99.8
2014-03-15,101
2014-03-16,89.1
2014-03-17,71.8
2014-03-18,72.3
2014-03-19,78.1
2014-03-20,72.5
2014-03-21,74.1
2014-03-22,80.4
2014-03-23,81.8
2014-03-24,76.9
2014-03-25,80.7
2014-03-26,79
2014-03-27,76.8
2014-03-28,84.9
2014-03-29,88.3
2014-03-30,82.9
2014-03-31,85.5
2014-04-01,81.2
2014-04-02,70.3
2014-04-03,72.8
2014-04-04,71.7
2014-04-05,67.4
2014-04-06,70.6
2014-04-07,67.2
2014-04-08,62.8
2014-04-09,59.4
2014-04-10,65.2
2014-04-11,58.4
2014-04-12,50
2014-04-13,51.5
2014-04-14,58.2
2014-04-15,58.6
2014-04-16,59.9
2014-04-17,56.7
2014-04-18,59.8
2014-04-19,64.9
2014-04-20,66.9
2014-04-21,62
2014-04-22,63.7
2014-04-23,59
2014-04-24,64.2
2014-04-25,71.5
2014-04-26,69.4
2014-04-27,67.8
2014-04-28,63.8
2014-04-29,61.3
2014-04-30,69.7
2014-05-01,79
2014-05-02,76.9
2014-05-03,79.4
2014-05-04,77.2
2014-05-05,69.1
2014-05-06,68.2
2014-05-07,66.4
2014-05-08,67.9
2014-05-09,70.1
